transaction_id,user_id,transaction_date,amount,type,channel
44,350,27-12-2023,7699.42,Transfer,ATM
45,483,26-03-2021,7112.83,Bill,Branch
46,426,26-09-2022,6959.07,Bill,ATM
47,72,08-10-2019,6370.03,Transfer,Branch
48,338,27-01-2024,1626.02,Bill,ATM
49,38,06-03-2022,4545.76,Payment,Mobile
50,299,25-11-2019,4067.97,Payment,Mobile
51,279,18-03-2023,463.98,Bill,Mobile
52,56,23-07-2019,7712.65,Payment,Mobile
53,86,09-05-2019,6505.3,Transfer,ATM
54,496,11-12-2024,7551.56,Bill,Mobile
55,6,31-03-2018,1076.2,Transfer,Web
56,229,26-01-2024,3803.78,Bill,Web
57,177,27-02-2021,9977.26,Bill,Mobile
58,152,28-03-2018,4218.16,Transfer,Mobile
59,426,10-09-2021,9412.69,Transfer,Branch
60,160,11-08-2023,3496.36,Transfer,ATM
61,179,08-05-2024,4814.01,Bill,ATM
62,164,02-09-2018,765.03,Transfer,Mobile
63,12,08-05-2018,8506.88,Payment,Mobile
64,347,19-04-2018,8020.5,Payment,Mobile
65,265,12-07-2021,1827.09,Transfer,Branch
66,287,12-08-2024,4321.06,Bill,Web
67,409,11-08-2021,4109.97,Transfer,Web
68,328,27-01-2019,6607.35,Bill,Mobile
69,378,19-10-2018,6179.66,Transfer,ATM
70,304,06-12-2021,4352.57,Transfer,Web
71,106,17-05-2020,2855.61,Payment,Mobile
72,296,19-10-2022,1107.35,Payment,Mobile
73,188,08-04-2022,3327.25,Bill,Mobile
74,135,30-07-2018,6739.94,Bill,Branch
75,306,13-05-2018,3947.53,Bill,Mobile
76,179,08-02-2022,3584.65,Bill,Web
77,417,19-08-2019,6768.53,Bill,Mobile
78,345,05-10-2024,1426.08,Transfer,Web
79,157,05-05-2023,1257.79,Bill,Web
80,262,05-09-2019,3945.79,Payment,Mobile
81,295,27-04-2020,3898.73,Transfer,ATM
82,326,02-12-2019,5420.05,Payment,Mobile
83,285,01-05-2024,1751.97,Bill,Web
84,96,28-02-2024,3214.34,Bill,Mobile
85,444,11-02-2019,3654.49,Transfer,ATM
86,70,19-01-2018,2031.77,Bill,ATM
87,210,06-11-2023,6878.5,Bill,ATM
88,251,26-10-2024,1755.81,Payment,Mobile
89,408,03-02-2023,7634.46,Bill,Mobile
90,141,22-12-2024,2325.95,Bill,Web
91,400,16-08-2021,4627.48,Payment,Mobile
92,282,12-05-2020,5156.98,Payment,Mobile
93,138,08-05-2023,7773.62,Bill,Mobile
94,390,29-10-2020,7217.9,Payment,Mobile
95,218,28-08-2024,1113.92,Payment,Mobile
96,153,30-10-2018,8760.62,Transfer,ATM
97,135,28-09-2019,3550.91,Transfer,ATM
98,444,06-04-2023,9940.18,Transfer,Web
99,416,03-05-2022,7402.37,Payment,Mobile
100,441,14-01-2024,7136.46,Payment,Mobile
101,85,12-05-2019,6199.9,Transfer,Web
102,413,19-12-2021,687.64,Bill,Branch
103,306,28-11-2019,5433.81,Bill,Branch
104,149,03-09-2023,5770.08,Payment,Mobile
105,70,16-03-2018,9631.44,Bill,Mobile
106,142,02-11-2024,8683.77,Transfer,Web
107,128,14-01-2021,1547.81,Bill,Web
108,390,09-09-2024,8451.2,Bill,ATM
109,73,26-02-2019,5816.51,Bill,ATM
110,193,19-03-2023,4574.72,Payment,Mobile
111,207,16-09-2018,5204.57,Bill,Branch
112,233,10-11-2021,9507.52,Bill,Mobile
113,445,10-05-2023,7763.94,Payment,Mobile
114,375,01-08-2019,9724.29,Payment,Mobile
115,436,03-12-2022,726.97,Payment,Mobile
116,112,27-11-2023,9684.47,Transfer,ATM
117,138,18-01-2024,3296.36,Bill,Branch
118,281,12-07-2024,5821.54,Payment,Mobile
119,404,18-12-2018,3503.02,Payment,Mobile
120,24,14-02-2021,1085.79,Bill,Mobile
121,64,05-01-2021,9301.39,Transfer,ATM
122,234,21-12-2018,106.69,Bill,Web
123,353,15-09-2021,9103.13,Payment,Mobile
124,82,28-01-2020,8756.79,Bill,Mobile
125,336,22-07-2019,3668.31,Transfer,Branch
126,341,01-08-2019,9047.62,Transfer,Mobile
127,203,08-11-2024,6293.48,Payment,Mobile
128,220,18-11-2020,6589.3,Payment,Mobile
129,1,23-03-2020,2212.87,Transfer,Web
130,304,23-11-2018,2339.29,Payment,Mobile
131,5,16-07-2020,179.82,Bill,Mobile
132,441,30-12-2020,4280.91,Transfer,ATM
133,37,02-02-2023,2366.57,Transfer,Mobile
134,53,14-03-2024,3202.18,Bill,Web
135,196,29-04-2018,7757.26,Transfer,Web
136,36,09-10-2023,5352.03,Transfer,Web
137,226,22-09-2020,3576.76,Transfer,Web
138,471,29-07-2018,4175.93,Payment,Mobile
139,441,10-11-2023,2250.72,Transfer,Web
140,386,02-01-2022,1319.26,Payment,Mobile
141,180,06-12-2023,9636.16,Bill,Web
142,127,16-08-2020,2841.98,Transfer,Web
143,284,08-02-2020,6049.89,Payment,Mobile
144,399,17-12-2024,9418.66,Transfer,Branch
145,106,16-01-2019,5225.72,Payment,Mobile
146,383,28-06-2021,3978.34,Payment,Mobile
147,402,02-06-2021,8989.33,Transfer,ATM
148,198,26-06-2022,1216.16,Bill,Mobile
149,271,24-01-2022,8898.37,Transfer,Branch
150,479,11-04-2022,3233.08,Bill,ATM
151,188,25-09-2018,5508.93,Transfer,ATM
152,489,08-02-2022,9874.93,Transfer,Mobile
153,301,10-05-2020,768.57,Bill,Web
154,21,29-12-2022,9233.53,Bill,Branch
155,322,26-03-2019,7155.03,Bill,ATM
156,360,27-04-2019,4082.55,Payment,Mobile
157,143,09-06-2019,927.61,Transfer,Web
158,499,27-07-2019,8099.79,Payment,Mobile
159,201,03-05-2023,5905.73,Payment,Mobile
160,159,06-06-2018,7016.89,Payment,Mobile
161,30,21-03-2022,2520.35,Bill,Mobile
162,233,26-02-2018,6161.74,Transfer,Branch
163,342,18-01-2019,7442.77,Payment,Mobile
164,62,20-01-2022,225.38,Transfer,Mobile
165,84,12-06-2021,5014.49,Bill,Branch
166,86,24-10-2019,3781.51,Payment,Mobile
167,376,18-02-2019,8875.51,Transfer,Branch
168,414,23-03-2022,4350.31,Payment,Mobile
169,135,25-10-2020,7152,Payment,Mobile
170,255,01-05-2018,4606.46,Bill,Mobile
171,256,08-08-2019,8607.66,Transfer,Branch
172,81,16-11-2024,2625.65,Transfer,Mobile
173,117,19-08-2018,7433.72,Transfer,Mobile
174,440,22-11-2020,8642.99,Transfer,Mobile
175,242,01-07-2022,3703.37,Transfer,Web
176,477,21-01-2021,9607.39,Transfer,ATM
177,115,02-02-2021,3285.84,Bill,Branch
178,139,11-09-2024,8277.37,Payment,Mobile
179,62,12-05-2018,5070.21,Transfer,Web
180,115,28-01-2020,8062.95,Transfer,ATM
181,36,21-09-2019,8782.21,Bill,Branch
182,168,11-01-2022,955.22,Bill,Mobile
183,189,30-08-2020,2086.64,Payment,Mobile
184,379,13-07-2019,6264.9,Bill,Branch
185,303,29-08-2018,9721.39,Transfer,Web
186,78,02-06-2018,163.14,Bill,Mobile
187,120,24-09-2019,5461.3,Payment,Mobile
188,487,30-11-2024,3416.67,Payment,Mobile
189,435,25-05-2018,7407.02,Bill,Mobile
190,106,07-04-2024,5345.16,Transfer,ATM
191,252,06-05-2021,9615.73,Transfer,Branch
192,48,02-11-2020,534.61,Transfer,ATM
193,359,26-06-2024,8966.22,Bill,Mobile
194,298,18-06-2022,1046.21,Transfer,ATM
195,39,23-08-2021,5959.77,Transfer,ATM
196,340,26-11-2018,9645.76,Transfer,Branch
197,134,13-09-2018,8524.05,Bill,Branch
198,163,15-12-2023,4582.3,Transfer,Mobile
199,484,28-11-2019,2106.86,Payment,Mobile
200,80,07-02-2020,1146.01,Bill,ATM
201,161,15-05-2021,4124.47,Payment,Mobile
202,494,24-08-2023,7726.33,Bill,Branch
203,238,26-03-2019,2723.58,Transfer,Mobile
204,81,21-10-2024,8095.21,Bill,Mobile
205,111,14-02-2020,8375.66,Bill,Web
206,47,21-02-2024,7140.46,Bill,ATM
207,263,13-03-2020,584.61,Bill,Branch
208,420,10-10-2024,9907.7,Transfer,ATM
209,438,13-12-2023,4576.79,Payment,Mobile
210,49,27-08-2019,4674.23,Transfer,Mobile
211,7,03-05-2023,710.52,Transfer,Web
212,102,06-05-2021,8254.37,Bill,Mobile
213,299,23-01-2019,5902.58,Transfer,Mobile
214,34,14-03-2018,2057.73,Payment,Mobile
215,415,09-06-2019,1375.04,Bill,Mobile
216,22,03-08-2021,9428.58,Transfer,Web
217,474,20-08-2021,5781.45,Payment,Mobile
218,255,11-01-2020,391.87,Payment,Mobile
219,89,08-12-2020,3604.04,Transfer,Branch
220,144,08-12-2018,4515.51,Transfer,Mobile
221,315,06-01-2018,6229.85,Transfer,Branch
222,256,08-05-2018,4178.72,Payment,Mobile
223,32,19-04-2018,968.44,Bill,Web
224,215,20-11-2018,2074.63,Payment,Mobile
225,323,24-05-2023,9941.46,Payment,Mobile
226,196,11-07-2023,7840.97,Bill,ATM
227,279,30-11-2021,7836.21,Bill,Branch
228,199,04-07-2024,2777.31,Transfer,Branch
229,306,31-01-2019,2268.3,Bill,Mobile
230,415,19-01-2021,9916.16,Payment,Mobile
231,393,02-01-2023,5881.49,Transfer,Web
232,52,07-08-2024,2553.78,Transfer,Branch
233,274,04-11-2018,8181.22,Payment,Mobile
234,392,16-07-2022,9964.28,Transfer,ATM
235,182,04-10-2019,9358.54,Transfer,Web
236,122,09-03-2020,5965.94,Payment,Mobile
237,468,17-11-2023,5956.47,Payment,Mobile
238,486,17-04-2019,5719.75,Transfer,Web
239,429,06-10-2019,9881.26,Bill,Branch
240,90,12-08-2023,4955.32,Transfer,Mobile
241,120,14-07-2019,6056.46,Transfer,ATM
242,1,13-09-2020,3384.17,Payment,Mobile
243,413,22-02-2018,1391.85,Payment,Mobile
244,471,13-10-2018,8044,Bill,Mobile
245,12,24-04-2022,1562.35,Payment,Mobile
246,397,29-08-2019,1198.11,Payment,Mobile
247,492,30-01-2022,818.06,Payment,Mobile
248,301,02-01-2023,1100.22,Bill,Branch
249,70,13-03-2021,9761.02,Payment,Mobile
250,406,23-03-2020,6428.73,Bill,Branch
251,90,05-09-2022,7101.11,Payment,Mobile
252,115,17-08-2018,6688.76,Transfer,ATM
253,158,23-07-2020,7366.55,Bill,Web
254,91,02-09-2024,7315.43,Payment,Mobile
255,436,17-10-2019,9943.4,Payment,Mobile
256,94,05-02-2019,6063.65,Payment,Mobile
257,328,10-12-2022,5698.95,Bill,Web
258,170,05-11-2021,7478.9,Transfer,Branch
259,164,03-11-2020,1762.09,Transfer,Branch
260,229,07-10-2022,212.82,Transfer,Web
261,355,21-08-2020,771.17,Bill,Mobile
262,369,03-08-2024,112.68,Bill,ATM
263,376,26-07-2023,4254.57,Transfer,ATM
264,253,19-03-2022,8829.53,Bill,ATM
265,52,23-05-2019,8305.19,Payment,Mobile
266,84,20-08-2022,4567.75,Transfer,Branch
267,11,25-03-2023,3255.3,Transfer,Mobile
268,176,25-04-2018,1784.04,Bill,Web
269,375,19-06-2023,842.52,Transfer,Branch
270,305,30-05-2018,9854.23,Bill,Mobile
271,221,05-04-2018,9430.18,Transfer,ATM
272,81,25-01-2024,630.2,Bill,Web
273,499,05-03-2024,1980.84,Payment,Mobile
274,339,21-02-2019,2887.08,Transfer,Mobile
275,26,12-04-2024,3989.73,Payment,Mobile
276,79,07-12-2019,639.6,Transfer,ATM
277,45,27-08-2019,3016.04,Payment,Mobile
278,103,09-12-2020,1060.17,Transfer,Web
279,327,13-03-2020,2988.93,Transfer,ATM
280,433,01-01-2019,1243.54,Bill,ATM
281,251,28-02-2021,8959.29,Bill,Mobile
282,329,28-08-2019,5486.85,Transfer,Branch
283,454,15-04-2021,3876.31,Transfer,ATM
284,23,15-03-2020,2706.63,Bill,Branch
285,116,23-10-2020,8387.08,Payment,Mobile
286,78,02-06-2021,7547.13,Payment,Mobile
287,44,25-05-2022,6714.6,Payment,Mobile
288,498,21-02-2020,7588.92,Transfer,Mobile
289,431,13-04-2020,3932.35,Payment,Mobile
290,495,15-10-2019,5401.59,Bill,Web
291,244,29-03-2018,3058.64,Bill,Mobile
292,258,16-05-2020,5755.08,Payment,Mobile
293,62,18-05-2018,9497.62,Bill,Web
294,486,29-01-2021,9845.24,Transfer,Web
295,65,05-01-2022,522.49,Transfer,ATM
296,104,20-09-2023,9972.97,Payment,Mobile
297,428,29-12-2021,5990.97,Bill,Mobile
298,45,29-12-2023,3942.18,Bill,Branch
299,439,14-03-2022,2834.39,Bill,Mobile
300,403,13-11-2022,7034.08,Payment,Mobile
301,58,19-11-2024,4202.98,Transfer,Mobile
302,474,30-11-2024,1145.78,Transfer,Branch
303,445,19-08-2023,5402.77,Bill,ATM
304,136,15-01-2022,3892.13,Bill,ATM
305,20,05-11-2022,1804.78,Bill,Web
306,317,16-01-2020,6125.69,Payment,Mobile
307,20,10-04-2023,4018.35,Bill,Web
308,26,13-08-2018,7482.92,Bill,Branch
309,11,18-12-2018,3444.87,Bill,Branch
310,144,26-09-2019,8444.18,Payment,Mobile
311,498,20-06-2019,8702.11,Transfer,Branch
312,499,13-07-2020,7462.86,Bill,Branch
313,374,23-05-2022,4226.05,Payment,Mobile
314,97,29-07-2019,4472.99,Bill,ATM
315,389,03-10-2024,5213.36,Bill,Mobile
316,264,16-12-2022,7935.75,Transfer,Branch
317,364,12-02-2018,5117.27,Transfer,Mobile
318,89,03-01-2024,2008.36,Transfer,Mobile
319,128,18-12-2022,427.4,Transfer,Branch
320,361,09-02-2023,2071.19,Bill,ATM
321,259,06-10-2018,4029.73,Transfer,Mobile
322,124,08-08-2019,3787.42,Payment,Mobile
323,91,06-07-2018,9609.15,Bill,Branch
324,177,12-08-2024,1718.78,Bill,Mobile
325,146,19-01-2018,371.76,Transfer,Web
326,438,11-08-2024,5765.35,Transfer,Web
327,332,12-07-2019,2328.61,Transfer,Branch
328,334,17-04-2018,4154.12,Transfer,Mobile
329,243,17-01-2018,9124,Payment,Mobile
330,308,22-03-2024,8028.56,Transfer,Branch
331,312,05-06-2018,8070.35,Bill,Branch
332,217,11-02-2019,8965.28,Bill,ATM
333,130,25-04-2018,2260.27,Bill,ATM
334,300,14-09-2019,1112.89,Payment,Mobile
335,288,18-08-2018,6508.69,Payment,Mobile
336,153,23-04-2020,6875.69,Bill,Mobile
337,173,27-07-2024,9884.77,Payment,Mobile
338,442,08-06-2024,2841.16,Payment,Mobile
339,97,20-04-2021,1584.3,Transfer,Mobile
340,413,25-08-2022,8587.42,Payment,Mobile
341,339,03-08-2022,3263.9,Transfer,Mobile
342,336,09-07-2023,5023.99,Bill,Branch
343,465,08-07-2020,4243.8,Bill,Mobile
344,299,17-08-2019,7109.88,Payment,Mobile
345,176,27-03-2018,7292.84,Transfer,ATM
346,465,23-08-2019,9412.61,Bill,Branch
347,433,11-10-2021,1782.87,Payment,Mobile
348,151,19-08-2020,1066.27,Transfer,Branch
349,372,11-05-2023,8102.6,Transfer,Branch
350,336,02-08-2018,984.07,Bill,Web
351,382,03-12-2019,8727.18,Bill,Branch
352,191,29-04-2019,2679.54,Bill,ATM
353,436,21-11-2021,1266.04,Transfer,Mobile
354,242,25-08-2020,8905.32,Payment,Mobile
355,445,21-03-2020,6838.91,Payment,Mobile
356,212,04-10-2024,635.21,Transfer,Web
357,103,03-11-2022,3492.43,Payment,Mobile
358,74,15-12-2020,3232.2,Payment,Mobile
359,399,13-12-2023,900.03,Bill,Web
360,161,18-09-2023,6381.54,Transfer,ATM
361,141,27-08-2024,2172.89,Transfer,Web
362,251,08-10-2021,7873.59,Transfer,Web
363,315,06-09-2018,4393.74,Bill,ATM
364,220,19-12-2022,9656.75,Bill,Mobile
365,20,11-07-2023,5384.45,Payment,Mobile
366,487,19-05-2022,239.36,Bill,Web
367,10,31-10-2022,6799.81,Payment,Mobile
368,116,30-12-2024,6965.89,Bill,Branch
369,67,26-05-2024,1116.81,Payment,Mobile
370,86,01-04-2021,746.34,Transfer,Branch
371,486,09-01-2024,2979.2,Payment,Mobile
372,223,02-06-2018,8890.94,Transfer,Branch
373,462,23-07-2023,4952.77,Transfer,Web
374,486,15-12-2018,9078.25,Bill,Mobile
375,117,30-06-2022,2320.78,Transfer,Web
376,376,28-04-2023,316.94,Payment,Mobile
377,64,07-05-2020,3729.26,Payment,Mobile
378,193,19-04-2019,8777.79,Bill,Mobile
379,305,26-12-2023,9947.33,Payment,Mobile
380,335,15-02-2019,8377.59,Transfer,Mobile
381,214,17-04-2024,4498.71,Transfer,Branch
382,243,30-11-2020,7048.5,Transfer,Mobile
383,155,11-10-2018,4266.63,Transfer,Branch
384,319,16-12-2022,6095.78,Transfer,ATM
385,426,06-08-2018,8996.36,Payment,Mobile
386,145,05-03-2023,1228.72,Transfer,ATM
387,102,28-02-2024,6129.12,Bill,Web
388,184,12-12-2022,7064.02,Bill,Web
389,21,10-07-2020,5526.57,Transfer,ATM
390,170,01-04-2023,2421.6,Transfer,Mobile
391,465,21-06-2022,1193.27,Payment,Mobile
392,77,24-05-2018,9499.52,Payment,Mobile
393,371,28-03-2020,7263.4,Bill,Web
394,234,29-03-2023,9887.79,Bill,Branch
395,238,24-06-2019,595.79,Transfer,Mobile
396,437,22-02-2018,2976.62,Payment,Mobile
397,219,09-06-2019,7411.55,Transfer,Mobile
398,5,26-01-2023,8534.79,Payment,Mobile
399,169,23-07-2023,3639.52,Bill,Branch
400,450,14-04-2019,7357.37,Bill,Branch
401,94,12-08-2024,1226.94,Bill,ATM
402,140,15-08-2023,8373.51,Payment,Mobile
403,410,20-06-2020,4275.22,Transfer,Mobile
404,68,11-06-2020,6992.08,Transfer,Web
405,54,26-10-2019,4218.67,Payment,Mobile
406,411,01-11-2020,5732.54,Bill,Web
407,313,11-12-2018,3859.53,Bill,Mobile
408,442,08-05-2024,6876.19,Payment,Mobile
409,248,11-11-2018,9211.94,Transfer,ATM
410,226,23-06-2018,555.13,Bill,Branch
411,7,02-05-2020,7075.22,Payment,Mobile
412,490,04-01-2019,6731.46,Bill,Mobile
413,222,05-09-2018,6650.96,Transfer,ATM
414,178,14-03-2022,6670.74,Payment,Mobile
415,77,08-03-2022,8406.43,Payment,Mobile
416,6,28-07-2018,6469.65,Transfer,ATM
417,437,20-11-2022,5008.77,Transfer,Mobile
418,385,11-05-2020,4967.31,Transfer,Branch
419,497,06-04-2020,2853.76,Payment,Mobile
420,282,25-01-2024,6468.84,Bill,Web
421,41,19-09-2019,4645.04,Payment,Mobile
422,46,29-04-2018,8580.23,Bill,Branch
423,61,29-11-2024,9808.64,Payment,Mobile
424,53,13-01-2018,4094.05,Transfer,Mobile
425,423,23-02-2020,999.87,Payment,Mobile
426,456,07-04-2022,5132.54,Transfer,ATM
427,487,18-02-2023,3474.46,Transfer,Web
428,433,18-08-2020,4599.15,Payment,Mobile
429,367,19-08-2023,6605.96,Payment,Mobile
430,59,24-07-2018,1064.63,Payment,Mobile
431,2,28-06-2023,3479.44,Payment,Mobile
432,281,01-11-2024,5267.65,Payment,Mobile
433,24,20-07-2018,8979.08,Bill,Web
434,421,24-10-2019,7196.88,Payment,Mobile
435,55,10-01-2024,2617.46,Transfer,Web
436,62,14-07-2021,9309.14,Bill,Web
437,235,25-10-2021,8263.09,Transfer,Branch
438,56,16-09-2022,7595.78,Transfer,Mobile
439,396,07-09-2023,8928.37,Bill,Web
440,494,06-02-2024,5038.4,Payment,Mobile
441,284,12-02-2021,9359.55,Payment,Mobile
442,474,23-02-2020,5132.5,Transfer,Web
443,375,14-05-2024,8170.92,Transfer,ATM
444,337,22-04-2020,6045.41,Bill,ATM
445,215,05-01-2021,9797.06,Payment,Mobile
446,141,31-07-2021,4038.91,Bill,Branch
447,232,27-09-2022,8067.49,Transfer,ATM
448,309,13-10-2023,7030.14,Payment,Mobile
449,432,01-02-2019,7044.79,Bill,Web
450,103,11-06-2023,2176.16,Payment,Mobile
451,352,24-12-2021,3518.41,Payment,Mobile
452,364,25-03-2020,6535.86,Transfer,Branch
453,364,09-03-2019,1242.51,Bill,ATM
454,299,14-09-2023,5749.32,Payment,Mobile
455,346,13-11-2021,7503.9,Payment,Mobile
456,450,22-08-2022,8488.28,Transfer,Mobile
457,13,02-06-2019,3870.62,Transfer,Mobile
458,103,10-05-2024,2743.08,Transfer,Branch
459,350,26-03-2019,2580.55,Transfer,Branch
460,105,01-08-2021,7560.58,Transfer,Branch
461,417,17-04-2022,4580.69,Payment,Mobile
462,381,02-01-2024,6506.48,Bill,Web
463,262,10-12-2024,7864.64,Payment,Mobile
464,355,01-06-2024,6678.49,Bill,ATM
465,214,04-12-2022,9571.35,Payment,Mobile
466,495,31-07-2024,5566.03,Transfer,Branch
467,104,11-03-2021,6243.56,Bill,Web
468,467,06-05-2021,6374.51,Payment,Mobile
469,387,17-05-2019,5925.01,Payment,Mobile
470,398,07-08-2019,7276.65,Transfer,Branch
471,230,27-08-2021,1856.52,Payment,Mobile
472,96,09-06-2023,9628.5,Payment,Mobile
473,194,05-11-2018,502.28,Bill,Branch
474,67,25-10-2023,1693.2,Bill,Mobile
475,170,22-10-2018,4716.68,Transfer,Mobile
476,79,06-07-2021,9293.42,Payment,Mobile
477,397,04-04-2018,9330.58,Payment,Mobile
478,252,09-01-2019,7920.09,Payment,Mobile
479,38,21-08-2018,7861.91,Bill,Web
480,490,01-11-2022,1920.3,Transfer,Web
481,213,11-03-2023,5476.49,Bill,Mobile
482,179,18-09-2024,2289.86,Transfer,Branch
483,170,26-01-2019,3671.9,Transfer,ATM
484,288,13-11-2023,8254.52,Payment,Mobile
485,59,22-11-2023,6722.49,Bill,Web
486,464,16-08-2021,6458.42,Payment,Mobile
487,491,26-07-2020,494.78,Bill,ATM
488,469,25-07-2019,7982.45,Transfer,ATM
489,132,20-07-2024,5448.35,Bill,Mobile
490,467,25-12-2019,5216.99,Bill,ATM
491,250,09-01-2020,534.13,Payment,Mobile
492,165,14-02-2021,5187.56,Transfer,Web
493,498,28-06-2020,9567.13,Payment,Mobile
494,321,01-07-2024,748.17,Payment,Mobile
495,443,15-05-2018,6885.51,Transfer,Web
496,276,14-12-2021,8304.61,Payment,Mobile
497,332,11-08-2023,8185.87,Transfer,Web
498,13,15-08-2022,4646.33,Bill,Mobile
499,45,13-03-2022,825.16,Transfer,Branch
500,286,12-11-2021,797.38,Transfer,Branch
501,209,07-10-2022,3941.52,Payment,Mobile
502,222,06-08-2022,3232.4,Bill,Mobile
503,274,14-08-2021,158.4,Payment,Mobile
504,388,12-09-2024,7484.92,Transfer,Mobile
505,184,26-04-2022,9287.67,Transfer,Branch
506,403,28-04-2018,6890.2,Payment,Mobile
507,145,02-05-2019,7676.21,Bill,ATM
508,203,26-03-2019,8239.01,Transfer,ATM
509,81,17-05-2022,5381.33,Transfer,ATM
510,408,02-05-2024,7995.1,Payment,Mobile
511,492,30-07-2022,6377.05,Bill,Branch
512,491,08-08-2019,9499.7,Payment,Mobile
513,64,11-03-2019,513.55,Payment,Mobile
514,276,01-09-2022,5520.5,Transfer,Branch
515,108,22-01-2021,7508.14,Payment,Mobile
516,109,09-12-2024,4185.28,Payment,Mobile
517,83,26-11-2024,1921.53,Payment,Mobile
518,100,09-01-2020,1234.76,Payment,Mobile
519,436,23-04-2018,7535.31,Payment,Mobile
520,331,21-08-2020,5541.68,Bill,Mobile
521,129,05-04-2022,1072.2,Payment,Mobile
522,488,18-11-2023,3375.42,Transfer,Web
523,52,29-05-2023,2922.86,Transfer,Web
524,163,16-10-2024,4910.03,Bill,Branch
525,356,12-01-2020,5883.28,Payment,Mobile
526,414,27-03-2019,3231.7,Bill,Web
527,3,05-07-2019,3200.83,Transfer,ATM
528,142,10-01-2021,8417.09,Transfer,Branch
529,450,18-12-2023,4851.54,Bill,Branch
530,397,16-11-2022,3124.17,Payment,Mobile
531,90,14-03-2019,6490.96,Transfer,Branch
532,440,03-10-2024,8281.79,Payment,Mobile
533,135,20-08-2019,7362.09,Payment,Mobile
534,373,16-11-2020,846.46,Transfer,Mobile
535,417,27-11-2022,5860.72,Bill,Web
536,465,30-09-2022,462.9,Bill,ATM
537,335,25-03-2021,7774.45,Bill,ATM
538,115,24-12-2021,8925.23,Payment,Mobile
539,69,22-08-2024,4700.54,Payment,Mobile
540,204,02-12-2024,3702.27,Transfer,Web
541,435,14-11-2022,9643.6,Payment,Mobile
542,388,01-05-2024,5189.95,Bill,Web
543,92,10-07-2024,5706.94,Payment,Mobile
544,377,17-08-2023,7346.84,Bill,Mobile
545,113,15-02-2021,7638.58,Transfer,Mobile
546,136,30-04-2022,3757.41,Transfer,Web
547,266,04-05-2019,9086.49,Bill,ATM
548,241,28-05-2020,9187.23,Transfer,Mobile
549,333,29-09-2018,3308.3,Payment,Mobile
550,428,16-11-2018,7444.91,Payment,Mobile
551,193,17-09-2020,6571.39,Bill,Mobile
552,265,17-11-2021,2590.71,Transfer,ATM
553,181,05-01-2018,8190.64,Bill,ATM
554,406,03-07-2022,4872.89,Payment,Mobile
555,257,22-10-2024,8832.14,Bill,Web
556,118,29-12-2018,863.17,Payment,Mobile
557,109,28-01-2024,1587.38,Transfer,Branch
558,309,04-09-2024,7201.3,Transfer,Web
559,213,24-11-2024,8130.61,Payment,Mobile
560,247,04-06-2022,6784.77,Bill,Web
561,303,17-03-2019,1696.34,Bill,Mobile
562,125,02-06-2020,527.13,Payment,Mobile
563,69,30-06-2021,6332.45,Transfer,Web
564,29,28-02-2020,1746.78,Transfer,ATM
565,307,20-06-2018,9695.51,Payment,Mobile
566,450,18-01-2023,7223.52,Payment,Mobile
567,485,11-02-2022,948.91,Bill,ATM
